.AAA.PR,17 150 ,17 150 
.ACA.PR,17 150 ,17 150 
.ACADEM,3 130 ,3 130 
.ACCOUNTAN,2 900 ,2 900 
.ACCOUNTANT,9 280 ,9 280 
.ACCT.PR,17 150 ,17 150 
.ACTO,3 660 ,3 660 
.ADUL,10 040 ,10 040 
.ADV.B,1 320 ,1 320 
.ADYGEYA.R,180 ,180 
.ADYGEYA.S,180 ,180 
.A,11 350 ,17 680 
.AE.OR,2 640 ,2 010 
.AER,5 740 ,5 980 
.A,9 671 ,16 095 
.A,13 110 ,14 340 
.AGENC,2 070 ,2 070 
.AIRFORC,3 130 ,3 130 
.A,8 440 ,13 460 
.AMSTERDA,3 810 ,3 810 
.APARTMENT,4 820 ,4 820 
.AP,2 110 ,2 460 
.ARCH,7 240 ,7 240 
.ARKHANGELSK.S,180 ,180 
.ARMENIA.S,431 ,431 
.ARM,2 860 ,2 860 
.ARQ.B,1 320 ,1 320 
.AR,1 440 ,1 440 
.ART.B,1 320 ,1 320 
.ASI,1 390 ,1 390 
.ASSOCIATE,3 130 ,3 130 
.A,2 200 ,3 160 
.ATTORNE,5 030 ,5 030 
.AUCTIO,3 020 ,3 020 
.AUDI,13 500 ,13 500 
.AUT,270 770 ,270 770 
.AVOCAT.PR,17 150 ,17 150 
.AZERBAIJAN.S,180 ,180 
.BALASHOV.S,431 ,431 
.BAN,2 280 ,2 280 
.BA,7 040 ,7 040 
.BAR.PR,17 150 ,17 150 
.BARGAIN,3 020 ,3 020 
.BASHKIRIA.R,180 ,180 
.BASHKIRIA.S,431 ,431 
.B,1 320 ,1 840 
.BEE,2 880 ,2 880 
.BERLI,4 610 ,4 610 
.BES,2 180 ,2 180 
.BE,2 020 ,2 020 
.BI,2 900 ,2 900 
.BIK,3 130 ,3 130 
.BING,4 820 ,4 820 
.BI,6 820 ,6 820 
.BIR.R,431 ,431 
.BI,1 870 ,1 870 
.BLAC,6 080 ,6 080 
.BLACKFRIDA,13 640 ,13 640 
.BLO,2 810 ,2 810 
.BLOG.B,1 320 ,1 320 
.BLU,2 020 ,2 020 
.BOUTIQU,3 020 ,3 020 
.BR.CO,4 330 ,4 330 
.BRYANSK.S,431 ,431 
.BUIL,6 970 ,6 970 
.BUILDER,3 020 ,3 020 
.BUSINES,1 190 ,1 190 
.BUZ,3 600 ,3 600 
.B,2 800 ,2 800 
.C,1 380 ,1 380 
.CA,3 020 ,3 020 
.CAF,3 020 ,3 020 
.CA,2 070 ,2 070 
.CAMER,4 820 ,4 820 
.CAM,4 920 ,4 920 
.CAPETOW,2 280 ,2 280 
.CAPITA,4 820 ,4 820 
.CA,270 770 ,270 770 
.CARD,3 020 ,3 020 
.CAR,3 020 ,3 020 
.CAREE,10 450 ,10 450 
.CAREER,4 820 ,4 820 
.CAR,270 770 ,270 770 
.CAS,1 280 ,1 280 
.CAS,3 130 ,3 130 
.CASIN,13 360 ,13 360 
.CA,5 095 ,7 911 
.CATERIN,3 020 ,3 020 
.CBG.R,180 ,180 
.C,1 230 ,1 230 
.CENTE,2 180 ,2 180 
.C,2 900 ,4 220 
.CHA,3 020 ,3 020 
.CHEA,3 020 ,3 020 
.CHRISTMA,6 610 ,6 610 
.CHURC,3 020 ,3 020 
.CIT,2 180 ,2 180 
.CLAIM,4 820 ,4 820 
.CLEANIN,4 820 ,4 820 
.CLIC,1 120 ,1 120 
.CLINI,4 820 ,4 820 
.CLOTHIN,3 020 ,3 020 
.CLOU,2 180 ,1 230 
.CLU,1 860 ,1 860 
.CN.CO,3 700 ,4 100 
.C,2 810 ,2 810 
.CO.CO,2 940 ,2 940 
.CO.D,960 ,960 
.CO.I,4 310 ,6 680 
.CO.I,820 ,870 
.CO.N,2 010 ,2 010 
.CO.U,820 ,820 
.CO.Z,1 230 ,2 020 
.COAC,4 820 ,4 820 
.CODE,4 820 ,4 820 
.COFFE,3 130 ,3 130 
.COLLEG,7 020 ,7 020 
.CO,1 390 ,1 390 
.COM.B,1 070 ,1 070 
.COM.C,800 ,800 
.COM.C,1 380 ,1 380 
.COM.D,740 ,740 
.COM.E,4 590 ,4 590 
.COM.M,1 560 ,3 330 
.COM.N,7 295 ,12 135 
.COM.P,2 550 ,4 040 
.COM.R,180 ,180 
.COM.S,9 890 ,9 890 
.COMMUNIT,3 020 ,3 020 
.COMPAN,1 190 ,1 190 
.COMPUTE,3 020 ,3 020 
.CONDO,4 820 ,4 820 
.CONSTRUCTIO,3 020 ,3 020 
.CONSULTIN,3 480 ,3 480 
.CONTRACTOR,3 020 ,3 020 
.COOKIN,2 940 ,2 940 
.COO,3 130 ,3 130 
.COUNTR,2 940 ,2 940 
.COUPON,4 500 ,4 500 
.COURSE,4 120 ,4 120 
.CPA.PR,17 150 ,17 150 
.CREDI,9 130 ,9 130 
.CREDITCAR,14 030 ,14 030 
.CRICKE,2 810 ,2 810 
.CRUISE,4 820 ,4 820 
.CYMR,1 760 ,1 760 
.C,1 760 ,2 550 
.DAGESTAN.R,180 ,180 
.DAGESTAN.S,431 ,431 
.DANC,2 280 ,2 280 
.DAT,2 900 ,2 900 
.DATIN,4 820 ,4 820 
.D,740 ,740 
.DE.CO,2 640 ,2 010 
.DEAL,3 020 ,3 020 
.DEGRE,4 290 ,4 290 
.DELIVER,4 820 ,4 820 
.DEMOCRA,3 020 ,3 020 
.DENTA,4 820 ,4 820 
.DENTIS,5 030 ,5 030 
.DES,1 860 ,1 860 
.DESIG,4 860 ,4 860 
.DIAMOND,4 820 ,4 820 
.DIE,14 030 ,14 030 
.DIGITA,3 020 ,3 020 
.DIREC,3 020 ,3 020 
.DIRECTOR,2 070 ,2 070 
.DISCOUN,3 020 ,3 020 
.DOCTO,9 230 ,9 230 
.DO,4 820 ,4 820 
.DOMAIN,3 020 ,3 020 
.DOWNLOA,2 900 ,2 900 
.DURBA,2 280 ,2 280 
.EART,2 180 ,2 180 
.EAST-KAZAKHSTAN.S,431 ,431 
.E,4 650 ,4 650 
.EC,6 760 ,6 760 
.ECO.B,1 320 ,1 320 
.EDUCATIO,2 070 ,2 070 
.EMAI,2 410 ,2 410 
.ENERG,9 400 ,9 400 
.ENG.B,1 320 ,1 320 
.ENG.PR,17 150 ,17 150 
.ENGINEE,3 020 ,3 020 
.ENGINEERIN,4 820 ,4 820 
.ENTERPRISE,3 020 ,3 020 
.EQUIPMEN,2 070 ,2 070 
.ESTAT,3 020 ,3 020 
.E,710 ,710 
.EU.CO,2 640 ,2 010 
.EVENT,3 020 ,3 020 
.EXCHANG,3 020 ,3 020 
.EXPER,4 820 ,4 820 
.EXPOSE,2 070 ,2 070 
.EXPRES,3 020 ,3 020 
.FAI,3 020 ,3 020 
.FAIT,2 900 ,2 900 
.FAMIL,2 710 ,2 710 
.FAN,6 970 ,6 970 
.FAR,3 020 ,3 020 
.FASHIO,2 940 ,2 940 
.FEEDBAC,2 810 ,2 810 
.F,3 960 ,6 160 
.FIN.E,4 590 ,4 590 
.FINANC,4 820 ,4 820 
.FINANCIA,4 820 ,4 820 
.FIRM.I,820 ,870 
.FIS,3 020 ,3 020 
.FISHIN,2 940 ,2 940 
.FI,2 940 ,2 940 
.FITNES,3 020 ,3 020 
.FLIGHT,4 820 ,4 820 
.FLORIS,3 020 ,3 020 
.FLOWER,14 030 ,14 030 
.F,12 080 ,12 080 
.FOOTBAL,2 070 ,2 070 
.FORSAL,3 020 ,3 020 
.FOUNDATIO,2 010 ,2 010 
.F,5 360 ,8 000 
.FU,130 ,1 950 
.FUN,4 820 ,4 820 
.FURNITUR,4 820 ,4 820 
.FUTBO,1 330 ,1 330 
.FY,2 070 ,2 070 
.GALLER,2 070 ,2 070 
